METABOLISM_TYPE,REACTION_NAME,REACTION_DESCRIPTION,sprintcore,swiftcore,fastcore
LIPIDS METABOLISM,FATTY ACID METABOLISM,Linolenate synthesis,PASS (should fail),FAIL (should fail),PASS (should fail)
LIPIDS METABOLISM,FATTY ACID METABOLISM,Linolenate degradation,true,true,true
LIPIDS METABOLISM,FATTY ACID METABOLISM,Linoleate synthesis,PASS (should fail),FAIL (should fail),PASS (should fail)
LIPIDS METABOLISM,FATTY ACID METABOLISM,Linoleate degradation,true,true,true
LIPIDS METABOLISM,FATTY ACID METABOLISM,gamma-Linolenate synthesis,true,true,true
LIPIDS METABOLISM,FATTY ACID METABOLISM,gamma-Linolenate degradation,true,true,true
LIPIDS METABOLISM,FATTY ACID METABOLISM,Arachidonate synthesis,true,true,true
LIPIDS METABOLISM,FATTY ACID METABOLISM,Arachidonate degradation,true,true,true
LIPIDS METABOLISM,FATTY ACID METABOLISM,Synthesis of malonyl-coa,true,true,true
LIPIDS METABOLISM,FATTY ACID METABOLISM,Synthesis of palmitoyl-CoA,true,true,true
LIPIDS METABOLISM,BILE ACID SYNTHESIS,Taurochenodeoxycholate synthesis,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
LIPIDS METABOLISM,BILE ACID SYNTHESIS,Glycochenodeoxycholate synthesis,true,true,true
LIPIDS METABOLISM,BILE ACID SYNTHESIS,tauro-cholate synthesis,true,true,true
LIPIDS METABOLISM,BILE ACID SYNTHESIS,glyco-cholate synthesis,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
LIPIDS METABOLISM,EICOSANOID METABOLISM,Synthesis of thromboxane from arachidonate,true,true,true
LIPIDS METABOLISM,GANGLIOSIDE METABOLISM,Synthesis of galactosyl glucosyl ceramide (link with ganglioside metabolism),true,true,true
LIPIDS METABOLISM,GANGLIOSIDE METABOLISM,Synthesis of glucocerebroside,true,true,true
LIPIDS METABOLISM,GLOBOSIDE METABOLISM,Synthesis of globoside (link with globoside metabolism),true,true,true
VITAMIN & COFACTOR METABOLISM,COENZYME NAD BIOSYNTHESIS,NAD synthesis from nicotinamide,true,true,true
VITAMIN & COFACTOR METABOLISM,COENZYME FAD BIOSYNTHESIS,FAD synthesis,true,true,true
VITAMIN & COFACTOR METABOLISM,COENZYME A BIOSYNTHESIS,Synthesis of coenzyme A,true,true,true
VITAMIN & COFACTOR METABOLISM,UBIQUINONE 10 BIOSYNTHESIS,Synthesis of ubiquinone from tyrosine,true,FAIL (should NOT fail),true
VITAMIN & COFACTOR METABOLISM,FOLATE METABOLISM,Tetrahydrofolate synthesis,true,true,true
VITAMIN & COFACTOR METABOLISM,VITAMIN B6 METABOLISM,Pyridoxal-phosphate synthesis,true,true,true
VITAMIN & COFACTOR METABOLISM,HEME METABOLISM,Synthesis of bilirubin,true,true,true
VITAMIN & COFACTOR METABOLISM,HEME METABOLISM,Heme synthesis,true,true,true
VITAMIN & COFACTOR METABOLISM,GPI ANCHOR BIOSYNTHESIS,Phosphatidyl-inositol to glucosaminyl-acylphosphatidylinositol,true,true,true
GLYCAN METABOLISM,GPI ANCHOR BIOSYNTHESIS,Glucosaminyl-acylphosphatidylinositoll to deacylated-glycophosphatidylinositol (GPI)-anchored protein,true,true,true
GLYCAN METABOLISM,N-GLYCAN METABOLISM,Degradation of n2m2nmasn,true,true,true
GLYCAN METABOLISM,N-GLYCAN METABOLISM,Biosynthesis of m4mpdol_U,true,true,true
GLYCAN METABOLISM,N-GLYCAN METABOLISM,Biosynthesis of g3m8masn,true,true,true
GLYCAN METABOLISM,N-GLYCAN METABOLISM,Degradation of s2l2fn2m2masn,true,true,true
GLYCAN METABOLISM,O-GLYCAN METABOLISM,"Biosynthesis of core2 (beta-D-Galactosyl-1,3-(N-acetyl-beta-D-glucosaminyl-1,6)-N-acetyl-D-galactosaminyl-R)",true,true,true
GLYCAN METABOLISM,O-GLYCAN METABOLISM,"Biosynthesis of core4 (N-Acetyl-beta-D-glucosaminyl-1,6-(N-acetyl-beta-D-glucosaminyl-1,3)-N-acetyl-D-galactosaminyl-R)",true,true,true
GLYCAN METABOLISM,O-GLYCAN METABOLISM,Biosynthesis of Tn_antigen (Glycoprotein N-acetyl-D-galactosamine),true,true,true
GLYCAN METABOLISM,KERATAN SULFATE METABOLISM,Keratan sulfate biosynthesis from O-glycan (core 2-linked),true,true,true
GLYCAN METABOLISM,KERATAN SULFATE METABOLISM,Keratan sulfate biosynthesis from O-glycan (core 4-linked),true,true,true
GLYCAN METABOLISM,KERATAN SULFATE METABOLISM,Keratan sulfate degradation,true,true,true
GLYCAN METABOLISM,KERATAN SULFATE METABOLISM,Keratan sulfate biosynthesis from N-glycan,true,true,true
,,,193/210,194/210,195/210
,,,0,0,0
